baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL001C	18.2288862566885	-0.382898854216259	0.52148264722758	-0.734250422812551	0.462796127499718	0.807945759824924
YAL002W	12.2488677231638	-0.079351875392262	0.577113918942665	-0.137497767403779	0.890637357339171	0.976918475983194
YAL003W	2282.91838118818	0.12569956741636	0.288720510904873	0.435367639875697	0.663295595230517	0.910041556656269
YAL005C	1921.88864746751	-1.51156999523822	0.259381406902452	-5.82759579142345	5.62315741490406e-09	4.50040031772822e-07
YAL007C	90.041777086518	-0.3312747567989	0.339758920309652	-0.975028871933607	0.329545938601897	0.713721847359274
YAL008W	15.3634268013237	-1.25010850366188	0.543804753555717	-2.29881863938837	0.0215152399306578	0.154433755077756
YAL009W	5.27681182930469	0.229473335781124	0.644113304532538	0.35626237521621	0.721644083434039	0.928103864751015
YAL010C	11.3361128031294	0.936714280807619	0.595630257553819	1.57264388255659	0.115801300601428	0.444518319386726
YAL011W	12.3490429968431	0.046272910107959	0.566380041906969	0.0816994009043129	0.934885754777613	0.987953212764835
YAL013W	22.694718798028	-0.442497989522958	0.485823703457321	-0.910820090444251	0.362390175086795	0.739772395099062
YAL014C	9.56258863822109	0.802485659314824	0.602507897258647	1.33190894752759	0.182890110493832	0.56886191671296
YAL015C	10.7320457883837	0.0530605590130678	0.584911932417338	0.0907154668460564	0.927718680540005	0.987953212764835
YAL016C-A	0.65554671491023	-0.0224837993117915	0.45186650198129	-0.0497576147229486	0.960315543368825	NA
YAL016C-B	0	NA	NA	NA	NA	NA
YAL016W	150.022983857286	0.151037519655184	0.292542675082123	0.516292262702473	0.605650299376136	0.882382505341082
YAL017W	30.1187849109436	-0.624535979895277	0.45926517181298	-1.35985922344139	0.173874476841804	0.552577920446288
YAL018C	0	NA	NA	NA	NA	NA
YAL019W	67.302158395081	0.603737048914344	0.367988600342917	1.64064062949705	0.100872035817073	0.411544193707379
YAL020C	7.32417730381038	0.247632007477207	0.631756140437308	0.391974041290352	0.695077394202132	0.917219468798747
YAL021C	97.8935723494807	0.25296161625052	0.332066438772553	0.761780134076678	0.446191238992312	0.799543527368623
YAL022C	40.1464871805323	-1.34651729743673	0.412994071979247	-3.26037923736686	0.00111263336423602	0.0175006388983452
YAL023C	365.360210362634	-0.450043217734578	0.256668899115852	-1.75339988321469	0.0795333910507259	0.358791566034874
