	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	expression_lfc	logBaseMean
YBL067C	282.65540263	0.717764524379	0.241078242763	2.97730942516	0.00290790365556	0.00991679063466	0.717764524379	2.45125729091
YBL071C	11.6892500579	-1.81375431824	0.651954199608	-2.78202720272	0.00540205119589	0.0167489701587	-1.81375431824	1.06778664922
YBL071W-A	98.496054134	-1.24535990719	0.330591192257	-3.76706922737	0.00016517520998	0.000824510965519	-1.24535990719	1.99341883251
YBL072C	11951.453814	0.722419712033	0.202648534415	3.56488989233	0.000364008969662	0.00166142129226	0.722419712033	4.0774207375
YBL074C	59.5432893226	-1.26608800022	0.384832685227	-3.28997002808	0.00100198054924	0.00394122016329	-1.26608800022	1.7748328225
YBL075C	165.839441271	-0.902303037876	0.272156111964	-3.31538774332	0.000915160890403	0.00366333917543	-0.902303037876	2.21968782591
YBL076C	3314.4795391	0.919303993453	0.178454744663	5.1514684868	2.58454658543e-07	2.52690561841e-06	0.919303993453	3.52041534238
YBL079W	661.468266595	0.560836357464	0.198497809641	2.82540325497	0.00472211455154	0.014985064041	0.560836357464	2.8205090141
YBL081W	337.117649078	1.00243012734	0.219626931489	4.5642404624	5.01305939905e-06	3.7076178086e-05	1.00243012734	2.52778148968
YBL087C	2226.6504964	0.724520757075	0.215991163798	3.35439998718	0.000795372994793	0.00325330895387	0.724520757075	3.34765205386
YBL091C-A	57.3323808664	-0.855092032269	0.385640628817	-2.21732869509	0.0266006383939	0.0646117382972	-0.855092032269	1.75839997728
YBL092W	5526.95584743	0.5230795924	0.185228738907	2.8239656302	0.00474334710854	0.0150006737525	0.5230795924	3.7424859952
YBL098W	300.734179185	1.14024833814	0.226616860746	5.03161298053	4.86370347506e-07	4.47361964305e-06	1.14024833814	2.47818278955
YBL101C	255.731982552	1.07780837415	0.237634141336	4.53557880232	5.7445723781e-06	4.18038761009e-05	1.07780837415	2.4077850455
YBL102W	207.227585404	-0.998217553774	0.250642107933	-3.98264107339	6.81536447335e-05	0.000381641869658	-0.998217553774	2.31644756667
YBL109W	6.18021979482	-1.72851391433	0.651186880443	-2.65440531165	0.00794483337601	0.0234143220602	-1.72851391433	0.791003920717
YBL113C	30.4747391141	-1.61279050556	0.651916236463	-2.47392289891	0.0133638534062	0.0362866668911	-1.61279050556	1.48393999643
YBR002C	279.854552239	0.645171302556	0.233000141381	2.76897386728	0.00562331454059	0.0172995686716	0.645171302556	2.44693237573
YBR003W	337.848671536	-0.565116528865	0.247840596546	-2.28016126793	0.0225981255686	0.0563937771635	-0.565116528865	2.52872221556
YBR004C	353.665622164	0.69093432978	0.227042296171	3.04319653841	0.00234079398121	0.00819353257041	0.69093432978	2.54859284655
YBR013C	44.9194188481	-1.74904040086	0.42213831713	-4.14328747211	3.42362345163e-05	0.000208875612605	-1.74904040086	1.65243412887
YBR015C	871.21034699	0.402524837084	0.195766153812	2.05615132772	0.0397679320871	0.0899619137851	0.402524837084	2.94012302471
YBR017C	1045.16500524	1.028850271	0.188064467061	5.47073185636	4.48180954481e-08	5.30786855896e-07	1.028850271	3.01918486003
YBR018C	49.7860748369	-1.30532571501	0.424491368897	-3.07503476079	0.00210478021076	0.00750267883653	-1.30532571501	1.6971078876
YBR023C	730.96892401	0.943890717739	0.190673434533	4.95030007747	7.40991409412e-07	6.6141696249e-06	0.943890717739	2.86389891401
YBR025C	4341.67155595	0.478602844934	0.171138815614	2.79657682109	0.00516471311236	0.0161075045776	0.478602844934	3.63765696632
YBR026C	314.801230458	-2.47741643559	0.242301908186	-10.2245023745	1.54016939626e-24	1.49506443537e-22	-2.47741643559	2.49803642121
YBR029C	461.769310984	0.880963734243	0.217729939568	4.04613043108	5.20712271615e-05	0.000304037798979	0.880963734243	2.66442506649
YBR030W	387.551725273	0.654568311539	0.224211749365	2.91942020609	0.00350683159882	0.0116451658956	0.654568311539	2.58832967459
YBR031W	28564.9265732	0.561207940379	0.169060194214	3.31957468161	0.000901546869855	0.00362217944164	0.561207940379	4.45583311203
YBR033W	149.954428323	1.08221185203	0.272128564298	3.97684033951	6.98370204385e-05	0.000388969306458	1.08221185203	2.17595929549
YBR034C	864.840331634	1.25368069119	0.191226519801	6.55599805139	5.52709526636e-11	1.07689210996e-09	1.25368069119	2.93693593464
YBR035C	343.047969864	-0.869658411451	0.220900999733	-3.93686951396	8.25514650118e-05	0.000447407541181	-0.869658411451	2.53535485354
YBR036C	796.115812891	0.6482894586	0.188805709621	3.43363270053	0.000595550607503	0.00253124355979	0.6482894586	2.9009762502
YBR038W	460.147905486	0.540483928352	0.209974685489	2.57404328095	0.0100517698202	0.0285781489239	0.540483928352	2.66289744953
YBR039W	513.789425491	0.468598098782	0.210478010824	2.22635180249	0.0259906261613	0.0634988960956	0.468598098782	2.71078516163
YBR042C	325.499601094	-0.576485303279	0.221565300389	-2.60187539415	0.00927155324242	0.0267658860466	-0.576485303279	2.51255046067
YBR044C	184.097978735	-0.707063716226	0.270649595056	-2.61246914513	0.00898908059859	0.0260889707069	-0.707063716226	2.26504902029
YBR045C	113.334024695	0.950087700112	0.307309914391	3.09162723238	0.00199062653596	0.00717100453908	0.950087700112	2.05436031162
YBR046C	152.18856723	-2.25365724315	0.296912258013	-7.59031391374	3.19131395578e-14	9.78410578785e-13	-2.25365724315	2.18238202842
YBR050C	20.791704358	-1.86479631526	0.54381258141	-3.42911580021	0.000605551101086	0.00256969226035	-1.86479631526	1.31789009121
YBR052C	203.21247482	-3.5932190719	0.309737465126	-11.6008538729	4.07987040117e-31	7.39272516692e-29	-3.5932190719	2.30795036493
YBR053C	224.422375772	-1.30167044636	0.278570360328	-4.67268105919	2.97293238327e-06	2.32196270625e-05	-1.30167044636	2.35106615557
YBR054W	184.32477887	-3.75938503506	0.321515342298	-11.6927080623	1.38886256877e-31	2.60339893925e-29	-3.75938503506	2.26558372156
YBR056W	352.393720859	-1.49455530027	0.222907383032	-6.704826372	2.01645985195e-11	4.3155416359e-10	-1.49455530027	2.54702816132
YBR061C	439.359357394	1.3627984675	0.212637287135	6.40902866031	1.46449665044e-10	2.6536679306e-09	1.3627984675	2.64281988036
YBR065C	96.6665741736	0.697557264504	0.311640726257	2.23833795051	0.0251990250651	0.0617870546928	0.697557264504	1.98527632764
YBR066C	171.674854938	-2.91044436514	0.307556964244	-9.46310668756	2.98927146931e-21	1.9577927358e-19	-2.91044436514	2.2347066891
YBR067C	657.541189667	-1.7052234234	0.21483985465	-7.93718384411	2.0682337972e-15	7.80758258442e-14	-1.7052234234	2.81792296307
YBR069C	1142.33784279	0.43948602565	0.181149440789	2.4260965076	0.0152622111222	0.0405302294385	0.43948602565	3.05779456412
YBR073W	169.879845443	0.980908345025	0.262653516813	3.7346095987	0.000188006604361	0.000929094455735	0.980908345025	2.2301418572
YBR076W	40.1858185369	-1.16840407457	0.443633680218	-2.63371363958	0.00844566844682	0.0246566346278	-1.16840407457	1.60407281881
YBR077C	192.78971916	-0.868066367868	0.271492808453	-3.19738254878	0.00138680874411	0.00523520300902	-0.868066367868	2.28508387069
YBR079C	1976.94864165	0.540433326601	0.178802084625	3.02252251552	0.00250677433735	0.00870453570151	0.540433326601	3.2959953871
YBR084C-A	5190.44931306	0.592699089126	0.181007223037	3.27444993179	0.00105867898093	0.00411658007175	0.592699089126	3.71520495433
YBR084W	1623.60576278	1.60249606073	0.187269593279	8.55716100342	1.15680924902e-17	5.56496909527e-16	1.60249606073	3.21048058412
YBR085C-A	132.359262487	-1.30684772769	0.285800757497	-4.57258314896	4.81747951511e-06	3.57757085302e-05	-1.30684772769	2.12175433858
YBR085W	164.84358097	0.619772793699	0.283142797346	2.18890538452	0.0286037176398	0.0687095930578	0.619772793699	2.21707204033
YBR088C	586.529541175	1.25549283269	0.23279109012	5.39321686255	6.92073417493e-08	7.66214072809e-07	1.25549283269	2.7682898907
YBR092C	460.060276139	-2.6886158616	0.227459946522	-11.82017275	3.07052479294e-32	6.18198991646e-30	-2.6886158616	2.66281473577
YBR093C	2368.76963401	-1.9620134923	0.187343882235	-10.4727918996	1.15194496966e-25	1.27795364389e-23	-1.9620134923	3.37452282706
YBR096W	276.61651197	-0.47883831777	0.236354405342	-2.02593354279	0.0427715953527	0.0951335484194	-0.47883831777	2.44187810073
YBR102C	316.179653673	0.592794787163	0.234602874369	2.52680104094	0.0115106691016	0.0320224980445	0.592794787163	2.49993391942
YBR103W	198.318322258	-0.939262103979	0.261175676084	-3.59628476151	0.000322794434853	0.00149847185983	-0.939262103979	2.29736283971
YBR104W	373.008612388	1.28794265526	0.244607850812	5.26533654167	1.39932776877e-07	1.43794815709e-06	1.28794265526	2.57171885934
YBR106W	2446.51219918	0.658925175927	0.184933054102	3.56304706657	0.000366574922932	0.00167058930669	0.658925175927	3.38854738565
YBR110W	421.009248028	-0.502573857229	0.218907917072	-2.29582312029	0.0216859969233	0.0545511704188	-0.502573857229	2.6242916358
YBR111C	329.762264672	-0.685474120527	0.222003026511	-3.08767916951	0.00201726126778	0.00723035056668	-0.685474120527	2.518200957
YBR111W-A	87.9094864286	0.691740459655	0.328443369398	2.1061179007	0.035194112271	0.0814800657177	0.691740459655	1.94403574289
YBR112C	703.645801386	0.607837495058	0.238140815914	2.55242887586	0.0106974748233	0.0301302969635	0.607837495058	2.8473541006
YBR115C	344.71393081	-1.15942710176	0.22128612774	-5.2394929298	1.61018414965e-07	1.62694443076e-06	-1.15942710176	2.53745883476
YBR117C	92.1015688905	-2.28062053742	0.37063983487	-6.15319866581	7.59355846797e-10	1.23959711207e-08	-2.28062053742	1.96426702818
YBR118W	72657.5955569	0.34305184499	0.164925446501	2.08004193572	0.0375216866036	0.0858812161587	0.34305184499	4.86128102174
YBR121C	2840.99398167	0.680483336735	0.16924309083	4.02074515065	5.80143405675e-05	0.000334074105217	0.680483336735	3.45347031372
YBR122C	191.609581954	-0.565805704044	0.264074460633	-2.14259910893	0.032145302781	0.0754824474806	-0.565805704044	2.28241722335
YBR125C	283.833591684	0.694857969897	0.282793053418	2.45712531301	0.01400538232	0.0376973601678	0.694857969897	2.45306379288
YBR126C	1373.93192711	-1.76097778553	0.181474149929	-9.70373899654	2.90647915932e-22	2.19439176529e-20	-1.76097778553	3.13796521568
YBR126W-B	79.0687605539	4.3985736989	0.581223671814	7.5677814105	3.79652109081e-14	1.15295467316e-12	4.3985736989	1.89800493105
YBR127C	1893.81241835	0.392362409619	0.185619259229	2.11380225979	0.034532159887	0.0802894872308	0.392362409619	3.27733696004
YBR130C	372.31863795	-0.475680110808	0.228070432639	-2.08567197994	0.0370083462518	0.0849925518483	-0.475680110808	2.57091477717
YBR132C	99.813185736	-1.15942321239	0.331712996763	-3.49526013061	0.000473599932761	0.00207285767672	-1.15942321239	1.99918791718
YBR133C	568.842256187	0.615867927033	0.224296940018	2.74577052627	0.00603689728731	0.018353788397	0.615867927033	2.75499185029
YBR135W	94.9719093533	0.935583052946	0.318051506044	2.94160862366	0.00326512305738	0.0109834213737	0.935583052946	1.97759516932
YBR138C	142.105706206	-1.56502686221	0.301654243666	-5.18814800414	2.12395771724e-07	2.09543269526e-06	-1.56502686221	2.15261151723
YBR139W	384.584779215	-1.40045133283	0.228054219033	-6.14087009121	8.20706837596e-10	1.3277864194e-08	-1.40045133283	2.58499209209
YBR142W	726.178470229	1.30400156113	0.194520914609	6.7036573612	2.03266575553e-11	4.32750044356e-10	1.30400156113	2.86104336879
YBR148W	55.7068633094	1.05389190646	0.380719492817	2.76815851655	0.00563740288498	0.0173233024775	1.05389190646	1.7459087053
YBR149W	760.530307647	-1.40332912109	0.197193233445	-7.11651762371	1.10688028874e-12	2.735000568e-11	-1.40332912109	2.88111652566
YBR150C	86.6623505407	0.697289027415	0.322609448597	2.16140299191	0.030664223196	0.072568879971	0.697289027415	1.93783046422
YBR154C	648.043116027	1.06636203218	0.203173216086	5.24853645928	1.53312301461e-07	1.55486132601e-06	1.06636203218	2.8116039016
YBR155W	322.987808248	1.31624471933	0.230998657714	5.69806219808	1.21176845965e-08	1.60662764553e-07	1.31624471933	2.50918612942
YBR157C	45.1583172479	-1.12019236891	0.461912438385	-2.42511843333	0.0153033934263	0.0406197493484	-1.12019236891	1.65473775027
YBR158W	445.081750526	-0.549535408649	0.246948385793	-2.2253047206	0.0260607887695	0.0636131332515	-0.549535408649	2.64843978748
YBR163W	193.314510885	-1.02065243235	0.263342769503	-3.8757564306	0.0001062939713	0.000558814340414	-1.02065243235	2.28626445496
YBR165W	174.857771492	-1.0331450703	0.305249269676	-3.38459473266	0.00071283416226	0.00295798969927	-1.0331450703	2.24268493914
YBR168W	156.102637019	-1.05680470411	0.292671497705	-3.61089040922	0.000305147590095	0.00142752349377	-1.05680470411	2.1934102396
YBR169C	162.289924978	-0.810920037509	0.277549469782	-2.92171351704	0.00348111576817	0.0115809946853	-0.810920037509	2.21029155949
YBR172C	764.62621294	1.60394568643	0.210140837546	7.63271768192	2.29855879019e-14	7.30699741722e-13	1.60394568643	2.88344918244
YBR173C	385.431966374	0.729099997727	0.218271967689	3.34032814862	0.000836794514854	0.00339931959358	0.729099997727	2.58594773067
YBR177C	525.894127579	-1.83852451139	0.220527435118	-8.33694234194	7.62362121152e-17	3.21255851983e-15	-1.83852451139	2.72089832127
YBR180W	55.1532843777	-2.426437708	0.425326591061	-5.70488128179	1.16424205023e-08	1.5473887005e-07	-2.426437708	1.74157137978
YBR183W	149.396165678	-1.93004573022	0.317329086483	-6.08215827805	1.18575425098e-09	1.83639889127e-08	-1.93004573022	2.17433945125
YBR187W	1187.9324296	0.644489102264	0.189899417428	3.39384454672	0.000689188022524	0.00287302614298	0.644489102264	3.07479173839
YBR191W	6346.03739979	0.559447490906	0.210850890835	2.65328492894	0.00797125512831	0.0234606079467	0.559447490906	3.80250262725
YBR197C	90.2857817151	-0.697640179151	0.325385433369	-2.144042442	0.0320294862474	0.0752429936217	-0.697640179151	1.95561936262
YBR199W	670.101385714	-0.505676831483	0.19808666475	-2.5528060262	0.0106858989314	0.030128914207	-0.505676831483	2.82614051602
YBR203W	46.3903337119	-0.915527290539	0.413195876701	-2.21572223288	0.0267105312836	0.0648207357401	-0.915527290539	1.66642749666
YBR208C	165.183193853	-0.708635889461	0.26859100156	-2.63834560855	0.00833116267914	0.0243747041571	-0.708635889461	2.21796585904
YBR211C	158.365200768	-0.831616623981	0.272593813913	-3.05075383789	0.00228267637466	0.00803147493374	-0.831616623981	2.1996597557
YBR212W	271.124799648	-0.784118844525	0.238795732115	-3.28363843683	0.0010247630073	0.00401340901131	-0.784118844525	2.43316924409
YBR214W	370.232801794	-2.48103942804	0.270524242484	-9.17122770686	4.67662064742e-20	2.85641683588e-18	-2.48103942804	2.56847489364
YBR218C	1204.68999018	0.665613870713	0.179951717273	3.6988470063	0.000216581097058	0.00105119182465	0.665613870713	3.08087530178
YBR220C	316.185649519	-0.78594772978	0.228364032293	-3.44164412359	0.000578190370955	0.00247094564191	-0.78594772978	2.49994215505
YBR221C	1513.26831849	-0.587926964842	0.203196181073	-2.89339574069	0.00381100790461	0.0125176066281	-0.587926964842	3.17991593986
YBR222C	263.49339397	-0.837240083286	0.253945685173	-3.29692580803	0.000977493187331	0.00387010412697	-0.837240083286	2.42076973151
YBR227C	154.160054999	-0.597876126738	0.275661956569	-2.16887427695	0.0300922301337	0.07143290961	-0.597876126738	2.18797185659
YBR228W	101.579585284	-0.962742013119	0.315880175736	-3.04780764058	0.00230517435865	0.00810014726155	-0.962742013119	2.00680643541
YBR229C	289.286604046	-1.14227289157	0.236906744439	-4.82161406707	1.42401252657e-06	1.19860291718e-05	-1.14227289157	2.4613283233
YBR230C	105.003895693	-1.19899878622	0.311857200475	-3.84470451344	0.000120697788269	0.000626062191821	-1.19899878622	2.02120541189
YBR235W	307.761381954	0.489696100118	0.226882322984	2.15837044366	0.0308990417923	0.0730609792009	0.489696100118	2.48821412343
YBR236C	260.478554715	-0.513581858649	0.243322991036	-2.11070008824	0.0347980984115	0.0807696255188	-0.513581858649	2.4157719735
YBR238C	236.967280017	1.78159937499	0.267783153569	6.65314210861	2.86900929197e-11	5.95264675998e-10	1.78159937499	2.37468838361
YBR239C	167.741429728	1.02347092604	0.265619797823	3.8531424782	0.000116611487894	0.000608933763875	1.02347092604	2.22464034036
YBR241C	125.545948161	-1.18291372021	0.296279525404	-3.99255979161	6.53638441881e-05	0.000367443492251	-1.18291372021	2.09880270096
YBR242W	271.521208882	1.11716537316	0.237502635406	4.70380200728	2.55360897746e-06	2.02944713471e-05	1.11716537316	2.43380375857
YBR244W	484.199705247	2.06990090198	0.235641178997	8.78412215892	1.57590358491e-18	8.15867798815e-17	2.06990090198	2.68502452073
YBR246W	603.159550357	0.753686525346	0.212071287379	3.55393007069	0.000379520112041	0.00172209626799	0.753686525346	2.78043220878
YBR247C	794.018253486	1.39481098517	0.203839686093	6.84268609268	7.77218404179e-12	1.77519296013e-10	1.39481098517	2.89983048643
YBR249C	2540.52999217	0.433198672475	0.173058730555	2.50318877924	0.0123079874799	0.0337569222708	0.433198672475	3.40492432633
YBR250W	29.9868161119	-1.27310717777	0.476628755795	-2.67106665785	0.00756106302008	0.0224478091628	-1.27310717777	1.47693035644
YBR252W	278.138142767	1.34909834634	0.25920207384	5.20481308791	1.94191963827e-07	1.92632758278e-06	1.34909834634	2.44426055038
YBR256C	203.228148421	-0.792437756238	0.271904593672	-2.91439635328	0.00356377125242	0.0118053994687	-0.792437756238	2.30798386039
YBR257W	178.910034812	0.881536472865	0.257614369359	3.42192275632	0.00062179975934	0.00263247935496	0.881536472865	2.25263470022
YBR261C	264.431905457	1.13052100719	0.269466645826	4.19540237986	2.72387585809e-05	0.000170391129627	1.13052100719	2.42231385447
YBR262C	66.5799296933	0.942258766334	0.3842285706	2.45233915027	0.0141930818711	0.0381382071434	0.942258766334	1.82334333222
YBR263W	1609.14061605	0.52691351757	0.175254129544	3.0065683413	0.00264214655177	0.00911918009867	0.52691351757	3.20659399693
YBR267W	611.20672098	1.38286632705	0.215850835558	6.40658315485	1.4881696021e-10	2.68760463689e-09	1.38286632705	2.7861881212
YBR269C	54.2551205489	-0.821983282042	0.387867647432	-2.11923651659	0.0340704836706	0.0793858333619	-0.821983282042	1.73444073277
YBR274W	339.224118736	0.84632289501	0.239807794333	3.5291717576	0.000416862481047	0.00186660992337	0.84632289501	2.53048672289
YBR280C	111.836048975	-1.79828287768	0.318923128852	-5.63860916629	1.71429127702e-08	2.20304666239e-07	-1.79828287768	2.0485818156
YBR286W	3852.22740058	-0.689521163036	0.167322112829	-4.12092072815	3.77361262041e-05	0.000227926202273	-0.689521163036	3.58571191602
YBR287W	726.829669395	-0.824713142834	0.197927491421	-4.16674377527	3.08981452215e-05	0.000190649622502	-0.824713142834	2.86143264702
YBR288C	357.34148109	-0.821961361325	0.219175875041	-3.75023647639	0.000176667883214	0.000877848823723	-0.821961361325	2.55308343311
YBR293W	98.9778537481	-1.66353518691	0.335796852962	-4.95399278533	7.27059031762e-07	6.51119093354e-06	-1.66353518691	1.99553803226
YBR294W	203.13441094	-0.947518903782	0.27536187145	-3.4409952939	0.000579578613272	0.00247493271151	-0.947518903782	2.30778349906
YBR295W	373.385908289	1.69120757939	0.241252220571	7.01012233334	2.38109838066e-12	5.75273368768e-11	1.69120757939	2.5721579235
YBR298C	159.889076103	0.997780876993	0.2738430655	3.64362294576	0.000268827151219	0.00127628331356	0.997780876993	2.20381879301
YCL001W-A	29.1734673691	-0.966953224493	0.472601052926	-2.04602427038	0.0407539828504	0.0916964614134	-0.966953224493	1.46498804961
YCL004W	162.039124427	-0.670428962064	0.266878462263	-2.51211340315	0.0120010516608	0.0331238667126	-0.670428962064	2.20961988782
YCL005W-A	52.7671975731	0.996123009227	0.426065950276	2.33795497759	0.0193895838163	0.0496008365296	0.996123009227	1.72236402973
YCL008C	215.426322226	-0.735819302602	0.260453952223	-2.825141628	0.00472597215527	0.014988555797	-0.735819302602	2.3332987672
YCL014W	206.148723663	0.890705117574	0.261835227611	3.40177723868	0.00066949184489	0.00280598124042	0.890705117574	2.31418065028
YCL025C	260.644878958	-0.667537591147	0.238636456846	-2.79729928935	0.00515317736087	0.0160824552795	-0.667537591147	2.41604919651
YCL026C-B	64.5516655702	1.72320696194	0.365516608595	4.71444230281	2.42373668268e-06	1.9347184445e-05	1.72320696194	1.80990745247
YCL027W	12.7176954319	1.93779892059	0.644183189442	3.00814885012	0.00262844363469	0.00907764904586	1.93779892059	1.10440842013
YCL037C	270.459217042	2.24701409114	0.25893409717	8.67793819237	4.03007940059e-18	2.0284732983e-16	2.24701409114	2.43210178645
YCL038C	170.175956243	-1.16685435754	0.269018549116	-4.33744944865	1.44145672937e-05	9.48639077585e-05	-1.16685435754	2.23089819965
YCL039W	232.160465239	-1.02996612968	0.262147122946	-3.9289621725	8.53132569715e-05	0.000460996883596	-1.02996612968	2.3657882654
YCL040W	1878.88956846	-3.28240303649	0.532713223918	-6.16166989877	7.19817838174e-10	1.17859330371e-08	-3.28240303649	3.27390125524
YCL048W	51.7852570953	3.25209056713	0.443057454232	7.34011026352	2.13417957582e-13	5.74464567004e-12	3.25209056713	1.71420613671
YCL050C	1108.97418381	0.414411313464	0.191839861011	2.16019398305	0.0307576557656	0.0727583188606	0.414411313464	3.04492143618
YCL052C	266.463470436	-1.32625675579	0.245272291907	-5.40728325029	6.3987906837e-08	7.20162032228e-07	-1.32625675579	2.42563767987
