	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YGR175C	1.58284817454	-0.847556246279	Increase	Decrease
YGR204W	0.899190350698	-1.63197052873	Increase	Decrease
YGR213C	2.89847552757	4.29808100929	Increase	Increase
YGR218W	0.905390366021	-1.19792456442	Increase	Decrease
YGR240C	1.11123276674	-1.64254841303	Increase	Decrease
YHL007C	0.977932407504	-1.18428221909	Increase	Decrease
YHL021C	-2.91979236056	1.15157506422	Decrease	Increase
YHL043W	0.908415363889	4.51540492964	Increase	Increase
YHR006W	-1.874221335	1.5891998291	Decrease	Increase
YHR027C	0.753563129504	-1.08235353719	Increase	Decrease
YHR042W	0.927295918791	-1.1739039608	Increase	Decrease
YHR064C	0.936515799576	-1.06980341562	Increase	Decrease
YHR137W	0.860755386102	1.43711601101	Increase	Increase
YHR142W	-0.937953494341	1.3435275291	Decrease	Increase
YHR165C	1.03731898229	-1.05319715028	Increase	Decrease
YHR192W	1.03384918052	-1.61831711232	Increase	Decrease
YHR205W	1.1543344918	-0.886029309914	Increase	Decrease
YIL011W	-1.50137169447	-2.24541449393	Decrease	Decrease
YIL030C	0.914391704322	-0.979497996937	Increase	Decrease
YIL056W	-0.817464656881	1.30739771893	Decrease	Increase
YIL078W	1.00145860912	-1.07545589942	Increase	Decrease
YIL094C	-2.15133341355	-1.21669119296	Decrease	Decrease
YIL108W	1.0228992923	-1.13421014607	Increase	Decrease
YIL117C	-1.37388063012	1.7567230238	Decrease	Increase
YIL123W	0.560835869628	-2.58553636301	Increase	Decrease
YJL034W	1.25038652186	-0.88373262324	Increase	Decrease
YJL039C	1.25707467356	-1.27092232562	Increase	Decrease
YJL079C	-3.03967335576	-2.46090346095	Decrease	Decrease
YJL080C	1.08649806839	-1.23851356552	Increase	Decrease
YJL109C	1.6484351324	-0.99663516477	Increase	Decrease
YJL141C	-1.67195378599	1.64428243993	Decrease	Increase
YJL171C	1.43166009341	-1.32763331524	Increase	Decrease
YJL172W	-0.683747615803	-0.967340535355	Decrease	Decrease
YJL206C	-1.55829351957	2.4935546441	Decrease	Increase
YJR009C	1.71864759839	-1.44002297808	Increase	Decrease
YJR045C	0.821748487202	-1.01043939378	Increase	Decrease
YJR075W	0.453563739582	-0.875276792685	Increase	Decrease
YJR077C	1.27144632322	-1.0176301047	Increase	Decrease
YJR083C	-1.16557842794	2.51118618404	Decrease	Increase
YJR096W	-0.985067214569	-3.03934281506	Decrease	Decrease
YJR109C	0.659541601555	-2.05740099034	Increase	Decrease
YJR131W	0.973053059657	-1.08116924435	Increase	Decrease
YJR143C	0.687150149528	-1.23197548157	Increase	Decrease
YKL004W	0.713898292193	-1.21011227526	Increase	Decrease
YKL010C	0.643046919715	-1.19731373969	Increase	Decrease
YKL051W	-1.75309392244	1.80586689519	Decrease	Increase
YKL075C	-0.599964522656	1.78961634728	Decrease	Increase
YKL101W	1.18683921682	-1.49857050456	Increase	Decrease
YKL161C	-0.453253055646	2.01831033116	Decrease	Increase
YKL163W	0.581473147163	2.2697731946	Increase	Increase
YKL176C	0.653985617637	-1.73410016771	Increase	Decrease
YKL182W	0.884128298406	-1.21516423217	Increase	Decrease
YKL184W	1.14393829903	-0.920589972069	Increase	Decrease
YKL201C	1.16390009547	1.62870100072	Increase	Increase
YKR095W	1.45804936395	-1.62198270144	Increase	Decrease
YKR105C	-4.31766915417	9.2578227616	Decrease	Increase
YLL013C	1.71469164582	-2.04196754045	Increase	Decrease
YLL019C	1.78073281516	-4.32395294615	Increase	Decrease
YLL021W	1.27352360691	-1.86157224783	Increase	Decrease
YLL024C	1.38805339104	-1.37005855285	Increase	Decrease
YLL034C	1.08615085884	-1.08673830164	Increase	Decrease
YLR044C	1.05061318711	-1.11583022846	Increase	Decrease
YLR046C	2.32332020855	4.31120311747	Increase	Increase
YLR116W	-0.807458782923	1.7282549101	Decrease	Increase
YLR134W	0.984465193924	-1.3969401397	Increase	Decrease
YLR153C	1.49488179342	-1.09241312046	Increase	Decrease
YLR180W	1.53126406517	-1.19094363081	Increase	Decrease
YLR197W	1.32673587524	-0.899484639652	Increase	Decrease
YLR249W	1.54713416452	-1.5529375615	Increase	Decrease
YLR257W	-0.508753048353	1.02493662654	Decrease	Increase
YLR259C	1.0801790592	-1.4439405453	Increase	Decrease
YLR266C	-1.51486645173	2.39183969354	Decrease	Increase
YLR286C	-2.00408110119	-1.4857124868	Decrease	Decrease
YLR367W	-0.604156471269	-1.4048122322	Decrease	Decrease
YLR384C	1.14735381067	-1.16315580608	Increase	Decrease
YLR411W	3.12419370233	4.79897468605	Increase	Increase
