baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL001C	204.840125496093	0.133499230203954	0.252284551331777	0.529161335877401	0.596693535532023	0.725857060483644
YAL002W	296.126521661637	-0.337477130553535	0.243427299362446	-1.38635695929509	0.16563793213838	0.280938965352344
YAL003W	7558.80800221645	0.517268676892991	0.170894729403829	3.02682639012622	0.00247135853443089	0.00858970907491453
YAL005C	1938.30015056354	-0.731109114931725	0.184544248196974	-3.96170090411798	7.44177265246635e-05	0.000411033140710249
YAL007C	441.499129287457	0.0394032231301249	0.215279917589689	0.183032507496706	0.854772512153555	0.913235726428209
YAL008W	71.3543239602678	-1.18161960655973	0.379050794709109	-3.11731204116464	0.00182508283798018	0.00662735491466951
YAL009W	114.887422686644	-0.188026055579079	0.298857876282016	-0.62914873758137	0.529251685554603	0.668606126580251
YAL010C	195.309977319943	0.151540948825161	0.249995630145907	0.606174390875213	0.544398956407806	0.682192883133433
YAL011W	190.848096679339	1.09182056570627	0.305492331066451	3.57397045580427	0.000351608620536529	0.00161294891243593
YAL013W	221.013195416714	-0.140971850281748	0.25603585533381	-0.550594173999396	0.581911903540214	0.713590664667695
YAL014C	189.487351987754	0.199566529804843	0.264219420475171	0.755306061325637	0.450065362645199	0.597741341641657
YAL015C	113.542987773532	-0.522060863429269	0.298038900316277	-1.75165343475386	0.0798334183953384	0.158269315243275
YAL016C-A	32.6762176500017	-0.722932001415441	0.463730832332743	-1.55894745617585	0.119008816922397	0.21694565016437
YAL016C-B	0.780304765485206	-0.282338639899433	0.446194195791374	-0.632770758926333	0.526883354598853	0.666853996647116
YAL016W	1098.97124182108	-0.0934420235798582	0.194258910707631	-0.481017952996209	0.630503739161502	0.751462031589985
YAL017W	185.884315969979	-0.0436262813582188	0.254503253395644	-0.171417381806112	0.863895588352152	0.919009083812583
YAL018C	7.91380110078988	0.258114295418938	0.637653585959636	0.404787648187517	0.68563360887016	0.793341638224306
YAL019W	302.591384113968	1.20924329450975	0.226563306162247	5.33733072222993	9.43248960243655e-08	1.01134148873462e-06
