	expression_lfc	efficiency_lfc	d_expression	d_efficiency
YBL030C	0.489194397541	-0.164075797217	Increase	Decrease
YBL031W	0.112466280894	0.156197073178	Increase	Increase
YBL032W	-0.242029118367	-0.512365978716	Decrease	Decrease
YBL033C	-0.579253216894	0.533800064768	Decrease	Increase
YBL042C	1.19742212459	-1.48021214152	Increase	Decrease
YBL043W	4.33890166471	-1.27829960136	Increase	Decrease
YBL044W	0.209597629293	-0.257671260853	Increase	Decrease
YBL045C	0.528134579831	-0.204178982978	Increase	Decrease
YBL046W	-0.612739352448	0.30115590491	Decrease	Increase
YBL047C	0.133580869177	-0.530218555861	Increase	Decrease
YBL049W	-0.351499448469	0.413339309909	Decrease	Increase
YBL050W	-0.817002749979	-0.384770289143	Decrease	Decrease
YBL051C	0.731022305798	-0.935158767564	Increase	Decrease
YBL052C	-0.712939991989	0.588830563904	Decrease	Increase
YBL054W	1.75016979282	-0.291582792533	Increase	Decrease
YBL056W	0.168783545827	0.0503483501613	Increase	Increase
YBL057C	0.195630084877	0.264942828211	Increase	Increase
YBL058W	-0.306631241474	0.223565025056	Decrease	Increase
YBL059C-A	-0.189113561882	0.0445829124658	Decrease	Increase
YBL059W	0.30116768352	-1.01511181038	Increase	Decrease
YBL060W	0.0435658157843	-0.754500086433	Increase	Decrease
YBL061C	0.551758297759	0.153361729828	Increase	Increase
YBL063W	0.490610108568	-0.993910965035	Increase	Decrease
YBL064C	0.164693663401	0.933219471944	Increase	Increase
YBL065W	0.0842559876693	2.29815600325	Increase	Increase
YBL066C	-0.0201716295292	0.878216704439	Decrease	Increase
YBL067C	0.717764524379	-1.19768007695	Increase	Decrease
YBL068W	0.316543752395	0.319134737019	Increase	Increase
YBL069W	-0.283706873473	0.582941590461	Decrease	Increase
YBL070C	-0.691052574557	3.23832392555	Decrease	Increase
YBL071C	-1.81375431824	7.83001654513	Decrease	Increase
YBL071W-A	-1.24535990719	0.0365476492283	Decrease	Increase
YBL072C	0.722419712033	-0.371190542877	Increase	Decrease
YBL074C	-1.26608800022	0.498505809254	Decrease	Increase
YBL075C	-0.902303037876	2.38252267975	Decrease	Increase
YBL076C	0.919303993453	-1.08488593608	Increase	Decrease
YBL078C	-0.810761727051	0.171989260874	Decrease	Increase
YBL079W	0.560836357464	-0.134365702294	Increase	Decrease
YBL080C	-0.371180804445	1.35455910023	Decrease	Increase
YBL081W	1.00243012734	-0.231003040203	Increase	Decrease
YBL082C	0.0748723752107	-0.214451984661	Increase	Decrease
YBL084C	0.548853573482	-0.967534787964	Increase	Decrease
YBL085W	0.123052598841	0.158531335775	Increase	Increase
YBL086C	-0.409304782256	0.392968968999	Decrease	Increase
YBL087C	0.724520757075	-0.479414141648	Increase	Decrease
YBL088C	-0.114052162725	0.218298714638	Decrease	Increase
YBL089W	-0.10958423101	0.568861647785	Decrease	Increase
YBL090W	0.0152232380726	0.0109000443705	Increase	Increase
YBL091C	-0.383144218177	0.347612612479	Decrease	Increase
YBL091C-A	-0.855092032269	0.784600319271	Decrease	Increase
YBL092W	0.5230795924	-0.408701513794	Increase	Decrease
YBL093C	0.144193885186	-0.709855235353	Increase	Decrease
YBL095W	-0.214851737466	1.41961270928	Decrease	Increase
YBL097W	0.416899827658	-0.757081927783	Increase	Decrease
YBL098W	1.14024833814	-0.21819377902	Increase	Decrease
YBL099W	0.176260996578	-0.142913209883	Increase	Decrease
YBL101C	1.07780837415	-1.70803213679	Increase	Decrease
YBL102W	-0.998217553774	0.060852911539	Decrease	Increase
YBL103C	-0.138449468858	-0.144226746543	Decrease	Decrease
YBL104C	0.285579599434	-0.231823470752	Increase	Decrease
YBL106C	-0.0974103523657	-1.41426064813	Decrease	Decrease
YBL107C	0.270955862718	-0.141343438799	Increase	Decrease
YBL109W	-1.72851391433	1.65371297288	Decrease	Increase
YBL113C	-1.61279050556	7.40305285971	Decrease	Increase
YBR001C	0.238270790471	0.00208921475378	Increase	Increase
YBR002C	0.645171302556	0.555447273571	Increase	Increase
YBR003W	-0.565116528865	-0.0664891429342	Decrease	Decrease
YBR004C	0.69093432978	-0.0115697560823	Increase	Decrease
YBR005W	-0.00947093075429	0.873015896516	Decrease	Increase
YBR006W	-0.3284786675	0.362425431651	Decrease	Increase
YBR007C	-0.150835190961	0.25091749125	Decrease	Increase
YBR008C	0.145918420009	3.18154121396	Increase	Increase
YBR010W	0.148123909001	-1.48374235406	Increase	Decrease
YBR011C	-0.127213444109	-0.155724562596	Decrease	Decrease
YBR012C	-0.645505761984	-1.59214086046	Decrease	Decrease
YBR013C	-1.74904040086	1.51256876432	Decrease	Increase
YBR014C	0.479348949598	-0.942203225855	Increase	Decrease
YBR015C	0.402524837084	-0.299633172747	Increase	Decrease
YBR016W	0.082668806981	-0.188244130873	Increase	Decrease
YBR017C	1.028850271	-0.722896878608	Increase	Decrease
YBR018C	-1.30532571501	4.95071924498	Decrease	Increase
YBR019C	0.278299132043	-0.626412676711	Increase	Decrease
YBR020W	-0.628594204398	-1.67455133673	Decrease	Decrease
YBR022W	-0.277534672927	-2.38236075349	Decrease	Decrease
YBR023C	0.943890717739	-0.267098649505	Increase	Decrease
YBR024W	0.0358868094331	-0.370508929294	Increase	Decrease
YBR025C	0.478602844934	-0.170898569716	Increase	Decrease
YBR026C	-2.47741643559	-0.0450860539545	Decrease	Decrease
YBR028C	-0.520064094356	0.0430686938923	Decrease	Increase
YBR029C	0.880963734243	-0.443486283769	Increase	Decrease
YBR030W	0.654568311539	0.383616964976	Increase	Increase
YBR031W	0.561207940379	-0.802691178711	Increase	Decrease
YBR032W	0.322536286573	-1.55405092438	Increase	Decrease
YBR033W	1.08221185203	-4.38108784499	Increase	Decrease
YBR034C	1.25368069119	-0.255740061981	Increase	Decrease
YBR035C	-0.869658411451	-0.323289188311	Decrease	Decrease
YBR036C	0.6482894586	-0.954233418076	Increase	Decrease
YBR037C	-0.219214404149	0.302108699547	Decrease	Increase
YBR038W	0.540483928352	-0.228457831082	Increase	Decrease
YBR039W	0.468598098782	-0.193102456386	Increase	Decrease
YBR040W	-0.00913610869787	2.18357891929	Decrease	Increase
YBR041W	-0.249753685203	-0.224385364675	Decrease	Decrease
YBR042C	-0.576485303279	0.542938495003	Decrease	Increase
YBR043C	-0.48638085465	1.73696822126	Decrease	Increase
YBR044C	-0.707063716226	0.653317444003	Decrease	Increase
YBR045C	0.950087700112	0.601950677449	Increase	Increase
YBR046C	-2.25365724315	-0.141743505421	Decrease	Decrease
YBR047W	-0.450950896027	-0.698568724212	Decrease	Decrease
YBR050C	-1.86479631526	-1.02632460266	Decrease	Decrease
YBR052C	-3.5932190719	0.83986551066	Decrease	Increase
YBR053C	-1.30167044636	-0.0607236904252	Decrease	Decrease
YBR054W	-3.75938503506	0.0779521146729	Decrease	Increase
YBR055C	-0.328629741528	-0.176903884666	Decrease	Decrease
YBR056W	-1.49455530027	0.370964614935	Decrease	Increase
YBR057C	-0.105007963535	0.833551163237	Decrease	Increase
YBR058C	0.250604081043	-0.638069119717	Increase	Decrease
YBR058C-A	-0.770810904636	0.0762361817364	Decrease	Increase
YBR059C	-0.0724263753229	-0.183174278433	Decrease	Decrease
YBR060C	-0.0889582956126	0.891801346065	Decrease	Increase
YBR061C	1.3627984675	-0.132122432455	Increase	Decrease
YBR062C	-0.677314141026	-0.909564203171	Decrease	Decrease
YBR063C	0.0772825865884	-1.07104305831	Increase	Decrease
YBR065C	0.697557264504	-0.0440853063624	Increase	Decrease
YBR066C	-2.91044436514	0.994134830846	Decrease	Increase
YBR067C	-1.7052234234	-0.865474330513	Decrease	Decrease
YBR068C	-0.111674366142	0.396359942283	Decrease	Increase
YBR069C	0.43948602565	-0.765791846896	Increase	Decrease
YBR070C	-0.410708151238	0.862087743057	Decrease	Increase
YBR071W	-0.173052342457	0.966035384942	Decrease	Increase
YBR072W	-0.369724158672	-3.27884189384	Decrease	Decrease
YBR073W	0.980908345025	0.0145912963116	Increase	Increase
YBR074W	-0.19700928606	-0.221532657969	Decrease	Decrease
YBR076W	-1.16840407457	1.35924591642	Decrease	Increase
YBR077C	-0.868066367868	0.193998592963	Decrease	Increase
YBR079C	0.540433326601	-0.12226498521	Increase	Decrease
YBR080C	-0.0805751884223	-0.113255547525	Decrease	Decrease
YBR081C	-0.157534142888	0.193092298417	Decrease	Increase
YBR082C	0.285592738949	0.10165124628	Increase	Increase
YBR083W	-0.128615266432	4.56465129389	Decrease	Increase
YBR084C-A	0.592699089126	-0.421381866371	Increase	Decrease
YBR084W	1.60249606073	-0.865646458997	Increase	Decrease
YBR085C-A	-1.30684772769	-0.667011090192	Decrease	Decrease
YBR085W	0.619772793699	1.28468998957	Increase	Increase
YBR086C	-0.351976183827	-0.0679754275992	Decrease	Decrease
YBR087W	-0.0459167240915	0.016679026386	Decrease	Increase
YBR088C	1.25549283269	-1.07848878377	Increase	Decrease
YBR089C-A	-0.252570395883	0.494386547383	Decrease	Increase
YBR090C	-0.18797164283	7.04311203741	Decrease	Increase
YBR091C	0.172867967454	0.718234104721	Increase	Increase
YBR092C	-2.6886158616	-2.98794626781	Decrease	Decrease
YBR093C	-1.9620134923	0.48885494544	Decrease	Increase
YBR094W	-0.254856779554	0.711882195558	Decrease	Increase
YBR095C	-0.002705802362	-0.646684181576	Decrease	Decrease
YBR096W	-0.47883831777	-0.17403090938	Decrease	Decrease
YBR097W	0.248873944126	-0.449599902476	Increase	Decrease
YBR098W	-0.112602743833	1.6107015662	Decrease	Increase
YBR101C	0.164328253736	0.249897840331	Increase	Increase
YBR102C	0.592794787163	-0.782851816499	Increase	Decrease
YBR103C-A	1.00889819022	-3.81969113059	Increase	Decrease
YBR103W	-0.939262103979	0.906378239383	Decrease	Increase
YBR104W	1.28794265526	0.649577370063	Increase	Increase
YBR105C	-0.445818824717	1.41341471826	Decrease	Increase
YBR106W	0.658925175927	-0.426567532258	Increase	Decrease
YBR107C	0.0496473333585	-0.238308814521	Increase	Decrease
YBR108W	0.50307204792	-0.816891166484	Increase	Decrease
YBR109C	-0.0522043514787	-0.208759270122	Decrease	Decrease
YBR110W	-0.502573857229	0.137445615234	Decrease	Increase
YBR111C	-0.685474120527	-0.241540510038	Decrease	Decrease
YBR111W-A	0.691740459655	0.464132778802	Increase	Increase
YBR112C	0.607837495058	-0.305762062632	Increase	Decrease
YBR114W	0.3504132703	-0.0996293546601	Increase	Decrease
YBR115C	-1.15942710176	-0.701214346712	Decrease	Decrease
YBR117C	-2.28062053742	-0.0959249878613	Decrease	Decrease
YBR118W	0.34305184499	-0.729745368589	Increase	Decrease
YBR119W	0.0295656221599	1.50765545635	Increase	Increase
YBR120C	-0.288871991118	0.539794705188	Decrease	Increase
YBR121C	0.680483336735	-0.916411893976	Increase	Decrease
YBR122C	-0.565805704044	0.928264004257	Decrease	Increase
YBR123C	-0.0316363849403	-0.257217939624	Decrease	Decrease
YBR125C	0.694857969897	-0.238906216736	Increase	Decrease
YBR126C	-1.76097778553	0.475125859727	Decrease	Increase
YBR126W-B	4.3985736989	-5.51134366967	Increase	Decrease
YBR127C	0.392362409619	-1.03795588976	Increase	Decrease
YBR128C	-0.670484049822	-0.114666888613	Decrease	Decrease
YBR129C	0.0582272007835	-0.625742032973	Increase	Decrease
YBR130C	-0.475680110808	0.0544077951794	Decrease	Increase
YBR131W	-0.00313389146728	0.421333787223	Decrease	Increase
YBR132C	-1.15942321239	-4.36614254752	Decrease	Decrease
YBR133C	0.615867927033	-0.33741228849	Increase	Decrease
YBR134W	-0.0340689330819	3.64748198525	Decrease	Increase
YBR135W	0.935583052946	-0.861974325093	Increase	Decrease
YBR136W	0.0497327843517	-0.0258331979243	Increase	Decrease
YBR137W	-0.484140498589	-0.0984326232071	Decrease	Decrease
YBR138C	-1.56502686221	1.2391057333	Decrease	Increase
YBR139W	-1.40045133283	0.0251567908672	Decrease	Increase
YBR141C	-0.167815473073	-0.442604794625	Decrease	Decrease
YBR142W	1.30400156113	-0.160273587162	Increase	Decrease
YBR143C	0.077029809441	-0.149612679847	Increase	Decrease
YBR144C	-0.35130039868	2.91074270341	Decrease	Increase
YBR145W	-0.663353638377	0.98876325282	Decrease	Increase
YBR146W	-0.136760896645	0.455425053537	Decrease	Increase
YBR147W	0.359508132926	-0.920980383087	Increase	Decrease
YBR148W	1.05389190646	-4.33269042466	Increase	Decrease
YBR149W	-1.40332912109	0.710246119014	Decrease	Increase
YBR150C	0.697289027415	0.0564391016569	Increase	Increase
YBR151W	0.406739084773	0.131062296633	Increase	Increase
YBR152W	-0.425131462713	-0.675930633739	Decrease	Decrease
YBR153W	0.0216518757221	-0.030945541143	Increase	Decrease
YBR154C	1.06636203218	-0.237723530756	Increase	Decrease
YBR155W	1.31624471933	-0.333440914124	Increase	Decrease
YBR156C	-0.148377827762	0.484873585429	Decrease	Increase
YBR157C	-1.12019236891	0.30780297298	Decrease	Increase
YBR158W	-0.549535408649	0.348347872842	Decrease	Increase
YBR159W	-0.226495495492	-0.339640602512	Decrease	Decrease
YBR160W	-0.0914662815862	0.397184081067	Decrease	Increase
YBR161W	0.162934307782	0.599114031443	Increase	Increase
YBR162C	0.359344037272	-1.65808166253	Increase	Decrease
YBR162W-A	0.536772321719	-1.46946997241	Increase	Decrease
YBR163W	-1.02065243235	1.94146002546	Decrease	Increase
YBR164C	-0.4286763526	0.231842183726	Decrease	Increase
YBR165W	-1.0331450703	1.65831478999	Decrease	Increase
YBR166C	0.161691088076	0.531789080579	Increase	Increase
YBR167C	0.0262991571231	1.84631335182	Increase	Increase
YBR168W	-1.05680470411	0.226334903495	Decrease	Increase
YBR169C	-0.810920037509	-0.291193646526	Decrease	Decrease
YBR170C	0.310046267463	-0.161165976629	Increase	Decrease
YBR171W	-0.411933030489	0.785142200614	Decrease	Increase
YBR172C	1.60394568643	-0.484541077262	Increase	Decrease
YBR173C	0.729099997727	-0.322707487814	Increase	Decrease
YBR175W	0.169736000584	-0.180644421094	Increase	Decrease
YBR176W	0.402354656639	-0.329446748724	Increase	Decrease
YBR177C	-1.83852451139	0.136136719472	Decrease	Increase
YBR178W	0.0631702002631	1.76866551874	Increase	Increase
YBR179C	0.123880520178	0.679572314923	Increase	Increase
YBR180W	-2.426437708	1.85717722269	Decrease	Increase
YBR182C	0.0360910024553	0.981912312789	Increase	Increase
YBR183W	-1.93004573022	0.293938482224	Decrease	Increase
YBR184W	-0.0138433049071	-0.250828108556	Decrease	Decrease
YBR185C	0.535954683068	0.712101377107	Increase	Increase
YBR187W	0.644489102264	0.042520805762	Increase	Increase
YBR188C	0.0225368875915	-0.453937293298	Increase	Decrease
YBR191W	0.559447490906	-0.198970140614	Increase	Decrease
YBR191W-A			No change	No change
YBR192W	-0.431340427417	1.15447415193	Decrease	Increase
YBR193C	-0.522368829429	0.408166932388	Decrease	Increase
YBR194W	-0.493327571489	0.527302651552	Decrease	Increase
YBR195C	-0.302606730923	0.730567215886	Decrease	Increase
YBR196C	0.26877782145	-1.10672968991	Increase	Decrease
YBR196C-A	0.601440990609	-6.32588778431	Increase	Decrease
YBR197C	-0.697640179151	0.891613834288	Decrease	Increase
YBR198C	0.00409798267953	0.238252748658	Increase	Increase
YBR199W	-0.505676831483	0.0828282989426	Decrease	Increase
YBR200W	0.0414107361956	-0.532860336721	Increase	Decrease
YBR201C-A	0.282099095466	0.740394311769	Increase	Increase
YBR201W	-0.127170662943	-0.0214017761469	Decrease	Decrease
YBR202W	0.118930601885	0.0672922940991	Increase	Increase
YBR203W	-0.915527290539	2.54041150519	Decrease	Increase
YBR204C	-0.182314138404	-0.510081356377	Decrease	Decrease
YBR205W	0.364443268428	-0.753293516515	Increase	Decrease
YBR207W	-0.0583790921153	-0.581378692892	Decrease	Decrease
YBR208C	-0.708635889461	-2.4178869785	Decrease	Decrease
YBR209W	0.0465087232455	-0.172234393474	Increase	Decrease
YBR210W	-0.559422220935	-0.0575614954356	Decrease	Decrease
YBR211C	-0.831616623981	-0.0234467338828	Decrease	Decrease
YBR212W	-0.784118844525	-0.10615501022	Decrease	Decrease
YBR213W	-0.148019699026	-1.83407553942	Decrease	Decrease
YBR214W	-2.48103942804	1.58731592563	Decrease	Increase
YBR215W	0.314291307197	-0.206625792751	Increase	Decrease
YBR216C	-0.0953127336002	0.00859292617827	Decrease	Increase
YBR217W	-0.195949032583	-0.406034315862	Decrease	Decrease
YBR218C	0.665613870713	-0.503250384309	Increase	Decrease
YBR220C	-0.78594772978	0.513090309302	Decrease	Increase
