baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
YAL001C	61.600921223493	-0.660486417347167	0.507978394016087	1.69623424145168	0.192781193472969	0.615977806907289
YAL002W	68.4627374738886	0.367534103476528	0.591030258275764	0.385019995705328	0.534928788874243	0.862027725241674
YAL003W	4641.89422754695	-0.373893967773552	0.380297427558118	0.965512288165243	0.325801957248539	0.747913614697238
YAL005C	3150.38131073097	-0.808701388657373	0.327578635402187	6.07624136633305	0.0137011982118657	0.164414378542389
YAL007C	207.366504332414	-0.362617083996278	0.356017016152579	1.02990628539735	0.310180679549455	0.734829365154602
YAL008W	34.7107269142721	-0.260800207909123	0.656196210041467	0.156913722112506	0.692014020695597	0.913942715379316
YAL009W	27.3150783653658	0.582119883307854	0.804053736134245	0.535640606023357	0.464245037304814	0.832515083969079
YAL010C	49.8921346723791	1.07928010542467	0.627486616033621	3.14776024840544	0.0760312574496525	0.408010410298269
YAL011W	50.5967272348436	-1.10080316262344	0.643453552703126	2.87945731474055	0.0897162530950138	0.440160245328967
YAL013W	70.9746214803324	-0.334389595684622	0.486976611244782	0.468838165766435	0.493522152702228	0.846037396324507
YAL014C	46.3249816725431	0.998553109946418	0.677133803675821	2.28574456263571	0.130567470291106	0.528098786088132
YAL015C	35.1211472310198	0.666014337971343	0.622851630390297	1.16111121293194	0.281235203830504	0.712108912368762
YAL016C-A	6.52511839945968	0.457143487729598	1.89133242435992	0.0687011226754848	0.793237415947867	0.945829917326739
YAL016C-B	0.133306845737015	2.54034554087929	6.94040662510541	0.176306166444562	0.674567070978645	0.907504782642472
YAL016W	407.416888776633	0.270403136867359	0.300371474297638	0.81247034853412	0.367390897897949	0.784543667842237
YAL017W	75.8561270266103	-0.691961163175554	0.455672582861446	2.32391559021702	0.127398975461428	0.520316176264706
YAL018C	1.34773858765391	-1.44079075652873	2.81885109267564	0.1370017923227	0.711280018649689	0.919083408969257
YAL019W	150.417820406734	-0.556736141816962	0.379439019604998	2.1456576831161	0.14297375517567	0.547245480679498
YAL020C	33.4591068101576	0.585806757885039	0.769537838158507	0.578936923378322	0.446729314947442	0.822914454779496
YAL021C	207.444038379525	-0.990603833673591	0.349528886720228	8.01421903100933	0.00464114841666318	0.0827701097145282
YAL022C	122.960371868504	-0.243652967963969	0.393431723925397	0.384222209361951	0.535352198546134	0.862027725241674
YAL023C	810.805017436526	-1.06116946987585	0.271169554754839	15.2375722976695	9.47984964299337e-05	0.00592327157003586
YAL024C	61.0563685151908	0.0295228396967939	0.560337628623985	0.00275203874305419	0.95816226443796	0.994592327501512
YAL025C	188.951380697454	-0.169677377879917	0.36625981127635	0.215072834346017	0.642820093265893	0.898711578544538
YAL026C	142.054814422871	-0.0967998233563204	0.380741512327907	0.0646492008455084	0.799293099881349	0.948010465914708
YAL027W	38.8311647469924	-0.684470696222251	0.698933135608502	0.948775739901222	0.330031118060512	0.750991683862085
YAL028W	28.7877749407015	-1.36096612860486	1.39457610363669	0.969043042724451	0.324918957272155	0.746517097096971
YAL029C	177.232653587703	-0.625318080455382	0.359301013619186	3.03045357266561	0.0817151703282969	0.420968198414688
YAL030W	22.9457497040483	-0.261717561033749	0.746278179271415	0.123229414463879	0.725557984220358	0.924742637255692
YAL031C	60.190737253789	0.325619601487105	0.56257333786005	0.33280104731557	0.564014366362073	0.872268634720956
YAL032C	57.1252061248533	0.419176409606332	0.544386306928678	0.594889222511696	0.440534690162661	0.820953116722002
YAL033W	51.7359894823992	-0.431306778006421	0.641348784824718	0.442803109781494	0.505772607390599	0.851154060052097
YAL034C	24.8538400124431	-1.29090802283575	1.04116552295411	1.52054752924943	0.21753665455312	0.641981136889664
YAL034C-B	0.596525315487277	5.95767975947827	4.14820118969803	1.69664847533122	0.192726867351758	0.615977806907289
YAL034W-A	23.3530027746597	-1.07242967505042	0.752845176653389	2.02101473869384	0.155135439690597	0.564846785102537
YAL035W	1211.12516205966	-1.50883425821543	0.495704239438752	9.1695077911031	0.00246080744455205	0.0557628860398113
YAL036C	235.280973986289	-0.0649677406511053	0.380286788766517	0.0292524054752192	0.864197545506442	0.969013546161863
YAL037W	5.2895247146718	0.398940687283563	2.30885721431354	0.0174906463437097	0.894784808258163	0.979667717561203
YAL038W	31445.3753659637	-0.398733948248675	0.270706033439314	2.16784837134051	0.140923285313905	0.543598255833153
YAL039C	66.9335353341907	0.982047315564654	0.480692664674948	4.24300592928871	0.0394123279737568	0.300351519390779
YAL040C	205.867715440861	-0.0643010982970564	0.422971410887989	0.0233413051224858	0.878572862695994	0.972775677040393
YAL041W	185.248686188601	0.119879902531006	0.3954858329458	0.0919716165256403	0.761685459095567	0.936065868718409
YAL042W	311.52081092897	-0.247159522502922	0.30853550682892	0.640583448632228	0.423499600925917	0.808337019183036
YAL043C	217.468630652887	-0.13767784955467	0.428437159329215	0.102853383582186	0.748431965008804	0.931144601801679
YAL044C	230.772037274919	-0.5944688447382	0.330964299167485	3.21751385356481	0.0728542028707851	0.401887217423883
YAL044W-A	26.0421907127444	0.221259019014792	0.775913910998646	0.0806184974114714	0.776460985628427	0.939080300099461
YAL046C	34.3542687830755	-0.312317871570103	0.643914803566577	0.232791489009863	0.629461662254292	0.892771413492943
YAL047C	41.436885194256	-0.392723096652462	0.653714965747143	0.354746715452436	0.551438350653248	0.867603358054876
YAL048C	35.9010141215288	-0.596310007228717	0.652823077688687	0.817988798488209	0.365768850815066	0.783419808128724
YAL049C	156.506385020994	0.198594598631735	0.382162178801209	0.271045851868124	0.602631067412552	0.882983158306389
YAL051W	104.34328181774	-0.27890294554855	0.443042339035051	0.394381042623607	0.530005482464921	0.859519630870916
YAL053W	293.129990410737	-0.21695676454728	0.316514029879066	0.469455615558815	0.493237717481144	0.846037396324507
YAL054C	8.18309381862325	0.693236596489752	2.01862315006324	-0.120325623335511	1	1
YAL055W	8.26555217047624	0.911481863238819	1.23233926432785	0.539392837875411	0.462684463076023	0.83241057689166
YAL058W	70.8027191546933	-0.116591972608992	0.487843449899036	0.0573227770092615	0.81077856203379	0.951304179411975
YAL059W	58.4647190966983	-0.308533386545931	0.646189619497743	0.232200995666489	0.629896604195124	0.892771413492943
